WAVY02:Ativo:[gps]:2025-05-27-16-08-41
WAVY02:40.640108,-8.650227:2025-01-01-00-00-00
WAVY02:40.639772,-8.650213:2025-01-01-00-00-05
WAVY02:40.640085,-8.649967:2025-01-01-00-00-10
WAVY02:40.639682,-8.650394:2025-01-01-00-00-15
WAVY02:40.639935,-8.650475:2025-01-01-00-00-20
WAVY02:40.639803,-8.650451:2025-01-01-00-00-25
WAVY02:40.639828,-8.649867:2025-01-01-00-00-30
WAVY02:40.639942,-8.649701:2025-01-01-00-00-35
WAVY02:40.639980,-8.649536:2025-01-01-00-00-40
WAVY02:40.639820,-8.650110:2025-01-01-00-00-45
WAVY02:40.639867,-8.650410:2025-01-01-00-00-50
WAVY02:40.640300,-8.650195:2025-01-01-00-00-55
WAVY02:40.639873,-8.650209:2025-01-01-00-01-00
WAVY02:40.639751,-8.650126:2025-01-01-00-01-05
WAVY02:40.640418,-8.649958:2025-01-01-00-01-10
WAVY02:40.640223,-8.649572:2025-01-01-00-01-15
WAVY02:40.640366,-8.649613:2025-01-01-00-01-20
WAVY02:40.639979,-8.650347:2025-01-01-00-01-25
WAVY02:40.639890,-8.650415:2025-01-01-00-01-30
WAVY02:40.640279,-8.649873:2025-01-01-00-01-35
WAVY02:40.639525,-8.649957:2025-01-01-00-01-40
WAVY02:40.639991,-8.649919:2025-01-01-00-01-45
WAVY02:40.640289,-8.650285:2025-01-01-00-01-50
WAVY02:40.640350,-8.649933:2025-01-01-00-01-55
WAVY02:40.639990,-8.650261:2025-01-01-00-02-00
WAVY02:40.639994,-8.650468:2025-01-01-00-02-05
WAVY02:40.640026,-8.650136:2025-01-01-00-02-10
WAVY02:40.639658,-8.649722:2025-01-01-00-02-15
WAVY02:40.639613,-8.649988:2025-01-01-00-02-20
WAVY02:40.640153,-8.650488:2025-01-01-00-02-25
WAVY02:40.640117,-8.650477:2025-01-01-00-02-30
WAVY02:40.639515,-8.649986:2025-01-01-00-02-35
WAVY02:40.639812,-8.650203:2025-01-01-00-02-40
WAVY02:40.639949,-8.649892:2025-01-01-00-02-45
WAVY02:40.639941,-8.649870:2025-01-01-00-02-50
WAVY02:40.639854,-8.649503:2025-01-01-00-02-55
WAVY02:40.639984,-8.649674:2025-01-01-00-03-00
WAVY02:40.639718,-8.649738:2025-01-01-00-03-05
WAVY02:40.639700,-8.649580:2025-01-01-00-03-10
WAVY02:40.639979,-8.650167:2025-01-01-00-03-15
WAVY02:40.640270,-8.650295:2025-01-01-00-03-20
