WAVY_ID:Dado:Timestamp
WAVY04:41.700084,-8.830146:2025-01-01-00-00-00
WAVY04:41.700023,-8.830391:2025-01-01-00-00-05
WAVY04:41.700490,-8.829972:2025-01-01-00-00-10
WAVY04:41.699834,-8.829547:2025-01-01-00-00-15
WAVY04:41.700341,-8.830484:2025-01-01-00-00-20
WAVY01:40.640122,-8.649544:2025-01-01-00-00-00
WAVY01:40.640023,-8.650391:2025-01-01-00-00-05
WAVY01:40.640267,-8.650035:2025-01-01-00-00-10
WAVY01:40.640452,-8.649515:2025-01-01-00-00-15
WAVY01:40.640341,-8.649825:2025-01-01-00-00-20
WAVY01:40.640297,-8.650130:2025-01-01-00-00-25
WAVY01:40.639732,-8.650286:2025-01-01-00-00-30
WAVY01:40.639973,-8.650056:2025-01-01-00-00-35
WAVY01:40.639963,-8.650235:2025-01-01-00-00-40
WAVY01:40.639549,-8.650160:2025-01-01-00-00-45
WAVY04:41.699552,-8.830439:2025-01-01-00-00-25
WAVY04:41.700141,-8.830395:2025-01-01-00-00-30
WAVY04:41.700179,-8.830072:2025-01-01-00-00-35
WAVY04:41.699704,-8.829720:2025-01-01-00-00-40
WAVY04:41.700407,-8.830247:2025-01-01-00-00-45
WAVY04:41.700414,-8.830247:2025-01-01-00-00-50
WAVY04:41.700317,-8.830343:2025-01-01-00-00-55
WAVY04:41.699824,-8.829883:2025-01-01-00-01-00
WAVY04:41.699909,-8.829523:2025-01-01-00-01-05
WAVY04:41.699644,-8.829952:2025-01-01-00-01-10
WAVY01:40.639676,-8.649737:2025-01-01-00-00-50
WAVY01:40.640194,-8.649725:2025-01-01-00-00-55
WAVY01:40.640420,-8.649553:2025-01-01-00-01-00
WAVY01:40.639602,-8.650152:2025-01-01-00-01-05
WAVY01:40.639669,-8.650479:2025-01-01-00-01-10
WAVY04:41.699646,-8.830370:2025-01-01-00-01-15
WAVY04:41.700024,-8.829837:2025-01-01-00-01-20
WAVY04:41.700031,-8.830067:2025-01-01-00-01-25
WAVY04:41.699663,-8.829859:2025-01-01-00-01-30
WAVY04:41.699687,-8.830291:2025-01-01-00-01-35
WAVY01:40.640440,-8.649611:2025-01-01-00-01-15
WAVY01:40.640482,-8.649788:2025-01-01-00-01-20
WAVY01:40.640141,-8.650153:2025-01-01-00-01-25
WAVY01:40.639775,-8.650337:2025-01-01-00-01-30
WAVY01:40.640300,-8.650303:2025-01-01-00-01-35
WAVY04:41.699962,-8.829544:2025-01-01-00-01-40
WAVY04:41.699513,-8.830406:2025-01-01-00-01-45
WAVY04:41.700422,-8.829707:2025-01-01-00-01-50
WAVY04:41.700043,-8.829914:2025-01-01-00-01-55
WAVY04:41.700496,-8.830267:2025-01-01-00-02-00
WAVY01:40.640401,-8.649751:2025-01-01-00-01-40
WAVY01:40.639610,-8.650260:2025-01-01-00-01-45
WAVY01:40.639539,-8.650266:2025-01-01-00-01-50
WAVY01:40.639783,-8.649927:2025-01-01-00-01-55
WAVY01:40.640097,-8.650071:2025-01-01-00-02-00
WAVY01:40.640275,-8.650348:2025-01-01-00-02-05
WAVY01:40.640263,-8.649731:2025-01-01-00-02-10
WAVY01:40.640316,-8.649607:2025-01-01-00-02-15
WAVY01:40.640405,-8.650224:2025-01-01-00-02-20
WAVY01:40.639610,-8.650084:2025-01-01-00-02-25
WAVY04:41.699570,-8.830088:2025-01-01-00-02-05
WAVY04:41.700461,-8.829801:2025-01-01-00-02-10
WAVY04:41.699513,-8.829936:2025-01-01-00-02-15
WAVY04:41.700457,-8.829555:2025-01-01-00-02-20
WAVY04:41.700480,-8.829683:2025-01-01-00-02-25
WAVY04:41.700293,-8.830035:2025-01-01-00-02-30
WAVY04:41.700024,-8.830252:2025-01-01-00-02-35
WAVY04:41.700392,-8.829686:2025-01-01-00-02-40
WAVY04:41.700150,-8.829592:2025-01-01-00-02-45
WAVY04:41.700023,-8.830359:2025-01-01-00-02-50
WAVY01:40.640353,-8.649569:2025-01-01-00-02-30
WAVY01:40.640086,-8.650377:2025-01-01-00-02-35
WAVY01:40.640416,-8.649645:2025-01-01-00-02-40
WAVY01:40.640040,-8.649690:2025-01-01-00-02-45
WAVY01:40.640409,-8.649857:2025-01-01-00-02-50
WAVY04:41.700335,-8.830314:2025-01-01-00-02-55
WAVY04:41.700236,-8.830463:2025-01-01-00-03-00
WAVY04:41.700113,-8.829848:2025-01-01-00-03-05
WAVY04:41.700412,-8.830055:2025-01-01-00-03-10
WAVY04:41.700111,-8.829684:2025-01-01-00-03-15
WAVY01:40.640335,-8.650314:2025-01-01-00-02-55
WAVY01:40.640328,-8.649513:2025-01-01-00-03-00
WAVY01:40.639970,-8.649578:2025-01-01-00-03-05
WAVY01:40.640402,-8.649972:2025-01-01-00-03-10
WAVY01:40.640430,-8.650115:2025-01-01-00-03-15
WAVY04:41.700375,-8.829997:2025-01-01-00-03-20
WAVY04:41.700001,-8.829709:2025-01-01-00-03-25
WAVY04:41.700079,-8.830478:2025-01-01-00-03-30
WAVY04:41.699756,-8.829926:2025-01-01-00-03-35
WAVY04:41.700399,-8.829874:2025-01-01-00-03-40
WAVY01:40.640375,-8.649997:2025-01-01-00-03-20
WAVY01:40.639792,-8.650354:2025-01-01-00-03-25
WAVY01:40.640144,-8.650146:2025-01-01-00-03-30
WAVY01:40.640231,-8.650102:2025-01-01-00-03-35
WAVY01:40.640159,-8.649515:2025-01-01-00-03-40
