WAVY_ID:status:[data_types]:last_sync
WAVY02:38.720028,-9.140421:2025-01-01-00-00-00
WAVY02:38.719825,-9.140343:2025-01-01-00-00-05
WAVY02:38.720090,-9.139587:2025-01-01-00-00-10
WAVY02:38.720324,-9.140187:2025-01-01-00-00-15
WAVY02:38.720426,-9.139959:2025-01-01-00-00-20
WAVY02:38.719862,-9.139520:2025-01-01-00-00-25
WAVY02:38.719829,-9.139862:2025-01-01-00-00-30
WAVY02:38.719628,-9.140393:2025-01-01-00-00-35
WAVY02:38.719657,-9.139527:2025-01-01-00-00-40
WAVY02:38.720084,-9.139935:2025-01-01-00-00-45
WAVY02:38.720366,-9.140030:2025-01-01-00-00-50
WAVY02:38.719892,-9.140195:2025-01-01-00-00-55
WAVY02:38.720469,-9.140362:2025-01-01-00-01-00
WAVY02:38.720110,-9.139536:2025-01-01-00-01-05
WAVY02:38.720452,-9.140125:2025-01-01-00-01-10
WAVY02:38.720039,-9.140193:2025-01-01-00-01-15
WAVY02:38.720416,-9.139903:2025-01-01-00-01-20
WAVY02:38.719792,-9.139693:2025-01-01-00-01-25
WAVY02:38.719687,-9.140139:2025-01-01-00-01-30
WAVY02:38.720247,-9.140293:2025-01-01-00-01-35
WAVY02:38.719843,-9.139781:2025-01-01-00-01-40
WAVY02:38.719880,-9.140435:2025-01-01-00-01-45
WAVY02:38.719996,-9.139991:2025-01-01-00-01-50
WAVY02:38.720051,-9.139956:2025-01-01-00-01-55
WAVY02:38.719753,-9.140376:2025-01-01-00-02-00
WAVY02:38.719812,-9.139702:2025-01-01-00-02-05
WAVY02:38.719912,-9.140456:2025-01-01-00-02-10
WAVY02:38.719513,-9.140405:2025-01-01-00-02-15
WAVY02:38.720494,-9.139758:2025-01-01-00-02-20
WAVY02:38.719787,-9.139508:2025-01-01-00-02-25
WAVY02:38.720379,-9.140357:2025-01-01-00-02-30
WAVY02:38.719694,-9.140257:2025-01-01-00-02-35
WAVY02:38.719568,-9.140407:2025-01-01-00-02-40
WAVY02:38.719895,-9.139522:2025-01-01-00-02-45
WAVY02:38.720075,-9.140317:2025-01-01-00-02-50
WAVY02:38.719978,-9.139810:2025-01-01-00-02-55
WAVY02:38.720064,-9.140297:2025-01-01-00-03-00
WAVY02:38.719675,-9.140115:2025-01-01-00-03-05
WAVY02:38.719999,-9.140021:2025-01-01-00-03-10
WAVY02:38.719972,-9.140382:2025-01-01-00-03-15
WAVY02:38.719525,-9.140298:2025-01-01-00-03-20
WAVY02:38.720058,-9.140149:2025-01-01-00-03-25
WAVY02:38.719932,-9.140289:2025-01-01-00-03-30
WAVY02:38.720059,-9.139532:2025-01-01-00-03-35
WAVY02:38.719723,-9.140271:2025-01-01-00-03-40
WAVY02:38.720387,-9.139999:2025-01-01-00-03-45
WAVY02:38.719839,-9.140419:2025-01-01-00-03-50
WAVY02:38.719696,-9.139662:2025-01-01-00-03-55
WAVY02:38.719706,-9.139708:2025-01-01-00-04-00
WAVY02:38.719886,-9.140369:2025-01-01-00-04-05
WAVY02:38.720136,-9.139950:2025-01-01-00-04-10
WAVY02:38.720293,-9.140028:2025-01-01-00-04-15
WAVY02:38.719977,-9.140327:2025-01-01-00-04-20
WAVY02:38.720439,-9.139678:2025-01-01-00-04-25
WAVY02:38.719733,-9.139840:2025-01-01-00-04-30
WAVY02:38.719546,-9.140296:2025-01-01-00-04-35
WAVY02:38.719624,-9.140049:2025-01-01-00-04-40
WAVY02:38.719879,-9.140342:2025-01-01-00-04-45
WAVY02:38.719715,-9.140302:2025-01-01-00-04-50
WAVY02:38.719876,-9.140468:2025-01-01-00-04-55
WAVY02:38.720077,-9.139627:2025-01-01-00-05-00
WAVY02:38.720230,-9.140426:2025-01-01-00-05-05
WAVY02:38.720049,-9.140447:2025-01-01-00-05-10
WAVY02:38.719667,-9.139825:2025-01-01-00-05-15
